TOPPID,Year,Season,SealID,FileName,SamplingFrequency,StartDate,StartTime,excelStartTime
2012037,2012,PM,U754,2012-PM_U754_Stroke_Depth+Stroke.txt,5,5/20/2012,14:06:00,41049.5875
2012039,2012,PM,X106,2012-PM_X106_Stroke_Depth+Stroke.txt,5,5/22/2012,17:08:00,41051.71389
2013006,2013,PB,1317,2013-PB_1935_Kami_Depth+Temp+Kami.txt,5,1/28/2013,18:28:00,41302.76944
2013010,2013,PB,O18129,2013-PB_O18129_Kami_Depth+Temp+Kami.txt,5,2/6/2013,15:21:00,41311.63958
2013009,2013,PB,T379,2013-PB_T379_Kami_Depth+Temp+Kami.txt,5,2/3/2013,18:18:00,41308.7625
2013011,2013,PB,U256,2013-PB_U256_Kami_Depth+Temp+Kami.txt,5,2/7/2013,13:15:00,41312.55208
2013014,2013,PB,U754,2013-PB_U754_Kami_Depth+Temp+Kami.txt,5,2/9/2013,18:10:00,41314.75694
2013005,2013,PB,U848,2013-PB_U848_Kami_Depth+Temp+Kami.txt,5,1/27/2013,20:04:00,41301.83611
2013008,2013,PB,X334,2013-PB_X334_Kami_Depth+Temp+Kami.txt,5,2/3/2013,18:20:00,41308.76389
2013018,2013,PB,X349,2013-PB_X349_Kami_Depth+Temp+Kami.txt,5,2/11/2013,14:48:00,41316.61667
2013015,2013,PB,X387,2013-PB_X387_Kami_Depth+Temp+Kami.txt,5,2/9/2013,17:54:00,41314.74583
2013030,2013,PM,3190,2013-PM_3190_Kami_Depth+Temp+Kami.txt,5,5/25/2013,13:23:00,41419.55764
2013041,2013,PM,4534,2013-PM_4534_Kami_Depth+Temp+Kami.txt,5,6/8/2013,14:38:00,41433.60972
2013034,2013,PM,9550,2013-PM_9550_Kami_Depth+Temp+Kami2.txt,5,5/30/2013,10:10:00,41424.42361
2013029,2013,PM,9701,2013-PM_9701_Kami_Depth+Temp+Kami.txt,5,5/25/2013,13:21:00,41419.55625
2013047,2013,PM,9704,2013-PM_9704_Kami_Depth+Temp+Kami.txt,5,5/22/2013,15:58:00,41416.66528
2013031,2013,PM,9706,2013-PM_9706_Kami_Depth+Temp+Kami.txt,5,5/26/2013,15:01:00,41420.62569
2013033,2013,PM,9710,2013-PM_9710_Kami_Depth+Temp+Kami.txt,5,5/30/2013,10:05:00,41424.42014
2013045,2013,PM,T220,2013-PM_T220_Kami_Depth+Temp+Kami.txt,5,6/21/2013,15:35:00,41446.64931
2013027,2013,PM,U256,2013-PM_U256_Kami_Depth+Temp+Kami.txt,5,5/22/2013,15:55:00,41416.66319
2013032,2013,PM,U848,2013-PM_U848_Kami_Depth+Temp+Kami.txt,5,5/26/2013,15:21:00,41420.63958
2013043,2013,PM,X387,2013-PM_X387_Kami_Depth+Temp+Kami.txt,5,6/13/2013,5:54:00,41438.24583
2014012,2014,PB,3960,2014-PB_3960_Kami_Depth+Temp+Kami.txt,5,2/10/2014,15:14:00,41680.63472
2014010,2014,PB,3997,2014-PB_3997_Kami_Depth+Temp+Kami.txt,5,2/7/2014,15:53:00,41677.66181
