SealID,TOPPID,SatTagManufacturer,SatTagType,SatTagID,SatTagPTT,SatTagQC,SatTagComment,TDR1Manufacturer,TDR1Type,TDR1ID,TDR1Loc,TDR1QC,TDR1Comments,TDR1Manufacturer,TDR2Type,TDR2ID,TDR2Loc,TDR2QC,TDR2Comments,TDR1Manufacturer,TDR3Type,TDR3ID,TDR3Loc,TDR3QC,TDR3Comment,Other1,Other1Loc,Other1Comment,Other2,Other2Loc,Other2Comment,Other3,Other3Loc,Other3Comment
S217,2007034,Wildlife Computers,SPOT,04S0657,56482,,,Wildlife Computers,Mk10,06A0160,Back,,,,,,,,,,,,,,,,,,,,,,,
R299,2007035,Wildlife Computers,SPOT,04S0660,56485,,,Wildlife Computers,Mk10,06A0159,Back,,,,,,,,,,,,,,,,,,,,,,,
R736,2007036,Wildlife Computers,Mk10,07A0351,34078,,multiple trips?,Wildlife Computers,Mk9,0490152,Back,,,,,,,,,,,,,,,,,,,,,,,
K366,2007037,SMRU,CTD,10582,72774,,take a closer look,Wildlife Computers,Mk9,0490233,Back,,,SMRU,CTD,10582,Head,,,,,,,,,,,,,,,,,
O555,2007038,SMRU,CTD,10583,72772,,take a closer look,Wildlife Computers,Mk9,0490132,Back,,,SMRU,CTD,10583,Head,,,,,,,,,,,,,,,,,
J698,2007039,SMRU,CTD,10615,35690,,,Wildlife Computers,Mk9,0490158,Back,,,SMRU,CTD,10615,Head,,,,,,,,,,,,,,,,,
W364,2007040,SMRU,CTD,10613,35894,,,Wildlife Computers,Mk9,0490124,Back,,,SMRU,CTD,10613,Head,,,,,,,,,,,,,,,,,
2218,2007041,Wildlife Computers,Mk10,07A0352,34079,,,Wildlife Computers,Mk9,0490851,Back,,,,,,,,,,,,,,,,,,,,,,,
S305,2007042,Wildlife Computers,Mk10,07A0349,34076,,weird loopy thing,Wildlife Computers,Mk9,0490122,Back,,,,,,,,,,,,,,,,,,,,,,,
2221,2007043,Wildlife Computers,Mk10,07A0348,34075,,weird loopy thing,Wildlife Computers,Mk9,0490151,Back,,,,,,,,,,,,,,,,,,,,,,,
S105,2007044,Wildlife Computers,Mk10,07A0354,34082,,take a closer look,Wildlife Computers,Mk9,0490858,Back,,,,,,,,,,,,,,,,,,,,,,,
J922,2007045,Wildlife Computers,Mk10,07A0353,34081,,,Wildlife Computers,Mk9,0490853,Back,,,,,,,,,,,,,,,,,,,,,,,
1244,2007046,Wildlife Computers,Mk10,07A0356,34083,,,Wildlife Computers,Mk9,0490854,Back,,,,,,,,,,,,,,,,,,,,,,,
WX403,2007047,Wildlife Computers,Mk10,07A0346,34073,,,Wildlife Computers,Mk9,0490157,Back,,,,,,,,,,,,,,,,,,,,,,,
R148,2007048,Wildlife Computers,Mk10,07A0350,34077,,,Wildlife Computers,Mk9,0490877,Back,,,,,,,,,,,,,,,,,,,,,,,
N558,2007049,Wildlife Computers,Mk10,07A0347,34074,,,Wildlife Computers,Mk9,0490336,Back,,,,,,,,,,,,,,,,,,,,,,,
J922,2007073,Wildlife Computers,Mk10,07A0353,34081,,,Wildlife Computers,Mk9,0490853,Back,,,,,,,,,,,,,,,,,,,,,,,
M558,2008001,Wildlife Computers,SPOT,04S0648,56473,,,Wildlife Computers,Mk9,0490854,Back,,,,,,,,,,,,,,,,,,,,,,,
O284,2008002,SMRU,CTD,10794,35684,,some noisy locations,Wildlife Computers,Mk9,0490132,Back,,,SMRU,CTD,35684,Head,,,,,,,,,,,,,,,,,
WX82,2008003,SMRU,CTD,10756,35682,,,Wildlife Computers,Mk9,0490336,Back,,,SMRU,CTD,10756,Head,,,,,,,,,,,,,,,,,
O700,2008004,SMRU,CTD,10764,35683,,,Wildlife Computers,Mk9,0490122,Back,,,SMRU,CTD,10764,Head,,,,,,,,,,,,,,,,,
WX541,2008005,SMRU,CTD,10588,35894,,,Wildlife Computers,Mk9,0490877,Back,,,SMRU,CTD,10588,Head,,,,,,,,,,,,,,,,,
K350,2008006,Wildlife Computers,SPOT,04S0649,56474,,,Wildlife Computers,Mk9,0490357,Back,,,,,,,,,,,,,,,,,,,,,,,
2088,2008007,Wildlife Computers,SPOT,05S0067,59109,,,Wildlife Computers,Mk9,0490359,Back,,,,,,,,,,,,,,,,,,,,,,,
O203,2008008,Wildlife Computers,SPOT,05S0072,59114,,,Wildlife Computers,Mk9,0490360,Back,,,,,,,,,,,,,,,,,,,,,,,
R400,2008009,Wildlife Computers,SPOT,05S0069,59111,,,Wildlife Computers,Mk9,0490963,Back,,,,,,,,,,,,,,,,,,,,,,,
N268,2008010,Wildlife Computers,SPOT,05S0071,59113,,,Wildlife Computers,Mk9,0490964,Back,,,,,,,,,,,,,,,,,,,,,,,
1360,2008011,Wildlife Computers,SPOT,04S0210,44635,,,Wildlife Computers,Mk9,0490879,Back,,,,,,,,,,,,,,,,,,,,,,,
M784,2008012,Wildlife Computers,SPOT,04S0209,44634,,,Wildlife Computers,Mk9,0490965,Back,,,,,,,,,,,,,,,,,,,,,,,
2077,2008013,Wildlife Computers,SPOT,05S0070,59112,,,Wildlife Computers,Mk9,0490158,Back,,,,,,,,,,,,,,,,,,,,,,,
M778,2008014,Wildlife Computers,Mk10,07A0358,34084,,,Wildlife Computers,Mk10,07A0358,Head,,,,,,,,,,,,,,,,,,,,,,,
S74,2008015,Wildlife Computers,Mk10,07A0345,34086,,,Wildlife Computers,Mk10,07A0345,Head,,,,,,,,,,,,,,,,,,,,,,,
W1218,2008016,Wildlife Computers,Mk10,07A0340,34072,,,Wildlife Computers,Mk10,07A0340,Head,,,,,,,,,,,,,,,,,,,,,,,
1133,2008017,Wildlife Computers,SPOT,05S1078,62046,,,,AccelCameraRDavis,66474,,,,,,,,,,,,,,,,,,,,,,,,
2336,2008018,Wildlife Computers,Mk10,07A0344,34085,,,Wildlife Computers,Mk10,07A0344,Head,,,,,,,,,,,,,,,,,,,,,,,
R256,2008019,SMRU,CTD,10795,35690,,,Wildlife Computers,Mk9,0490124,Back,,,SMRU,CTD,10795,Head,,,,,,,,,,,,,,,,,
2234,2008020,Wildlife Computers,SPOT,05S0068,59110,,,Wildlife Computers,Mk9,0390795,Back,,,,,,,,,,,,,,,,,,,,,,,
2445,2008021,Wildlife Computers,SPOT,04S0653,56478,,,Wildlife Computers,Mk9,0490353,Back,,,,,,,,,,,,,,,,,,,,,,,
1809,2008022,Wildlife Computers,SPOT,05S0065,59107,,,Wildlife Computers,Mk9,0490851,Back,,,,,,,,,,,,,,,,,,,,,,,
1261,2008023,Wildlife Computers,Mk10,07A0339,34071,,,Wildlife Computers,Mk10,07A0339,Head,,,,,,,,,,,,,,,,,,,,,,,
2888,2008029,Wildlife Computers,SPOT,04S0656,56481,,,Wildlife Computers,Mk9,0490965,Back,,,,,,,,,,,,,,,,,,,,,,,
1968,2008030,Wildlife Computers,SPOT,04S0658,56483,,noisy locations,Wildlife Computers,Mk9,0490964,Back,,,,,,,,,,,,,,,,,,,,,,,
WX311,2008031,Wildlife Computers,SPOT,04S0662,56487,,,Wildlife Computers,Mk9,0490357,Back,,,,,,,,,,,,,,,,,,,,,,,
R841,2008032,Wildlife Computers,SPOT,04S0120,37593,,,Wildlife Computers,Mk9,0390795,Back,,,,,,,,,,,,,,,,,,,,,,,
M251,2008033,Wildlife Computers,SPOT,04S0146,39454,,,Wildlife Computers,Mk9,0490152,Back,,,,,,,,,,,,,,,,,,,,,,,
R274,2008034,Wildlife Computers,SPOT,04S0660,56485,,,Wildlife Computers,Mk9,0490336,Back,,,,,,,,,,,,,,,,,,,,,,,
1361,2008035,Wildlife Computers,SPOT,04S0117,37591,,,Wildlife Computers,Mk9,0490879,Back,,,,,,,,,,,,,,,,,,,,,,,
2408,2008036,Wildlife Computers,SPOT,04S0657,566482,,few points?,Wildlife Computers,Mk9,0490360,Back,,,,,,,,,,,,,,,,,,,,,,,
3388,2008037,Wildlife Computers,SPOT,04S0663,56488,,,Wildlife Computers,Mk9,0490359,Back,,,,,,,,,,,,,,,,,,,,,,,
2386,2008038,Wildlife Computers,SPOT,04S0665,56490,,small loopy thing,Wildlife Computers,Mk9,0490877,Back,,,,,,,,,,,,,,,,,,,,,,,
R975,2008039,Wildlife Computers,SPOT,04S0138,37597,,,Wildlife Computers,Mk9,0490132,Back,,,,,,,,,,,,,,,,,,,,,,,
1819,2008040,Wildlife Computers,Mk10,07A0356,34083,,MISSING,Wildlife Computers,Mk9,0490122,Back,,,,,,,,,,,,,,,,,,,,,,,
O80,2008041,Wildlife Computers,Mk10,07A0346,34073,,,Wildlife Computers,Mk9,0490853,Back,,,,,,,,,,,,,,,,,,,,,,,
2780,2008042,Wildlife Computers,Mk10,07A0352,34079,,,Wildlife Computers,Mk9,0490851,Back,,,,,,,,,,,,,,,,,,,,,,,
1712,2008043,Wildlife Computers,Mk10,07A0349,34076,,very few points,Wildlife Computers,Mk9,0490157,Back,,,,,,,,,,,,,,,,,,,,,,,
1381,2008044,Wildlife Computers,Mk10,07A0350,34077,,,Wildlife Computers,Mk9,0490159,Back,,,,,,,,,,,,,,,,,,,,,,,
1150,2008045,SMRU,CTD,10764,35683,,,SMRU,CTD,10764,Back,,,Wildlife Computers,Mk9,0490858,Head,,Contains no data,,,,,,,,,,,,,,,
R981,2008046,SMRU,CTD,10588,35894,,,Wildlife Computers,Mk9,0490155,Back,,,SMRU,CTD,10588,Head,,,,,,,,,,,,,,,,,
W1057,2008047,SMRU,CTD,10810,35682,,weird loopy thing,Wildlife Computers,Mk9,0490124,Back,,,SMRU,CTD,10810,Head,,,,,,,,,,,,,,,,,
T588,2008048,SMRU,CTD,10797,35684,,noisy locations,Wildlife Computers,Mk9,0490353,Back,,,SMRU,CTD,10797,Head,,,,,,,,,,,,,,,,,
2888,2009001,Wildlife Computers,SPOT,05S0068,59110,,No useable data,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT073,2009002,Wildlife Computers,Mk10,07A0340,34072,,,Wildlife Computers,Mk10,07A0340,Head,,,,,,,,,,,,,,,,,,,,,,,
M251,2009003,Wildlife Computers,SPOT,04S0146,39454,,,Wildlife Computers,Mk9,0790470,Back,,,,,,,,,,,,,,,,,,,,,,,
1968,2009004,Wildlife Computers,SPOT,04S0210,44635,,messy locations,,,,,,,,,,,,,,,,,,,,,,,,,,,
T378,2009005,Wildlife Computers,Mk10,07A0358,34084,,,Wildlife Computers,Mk10,07A0358,Head,,,,,,,,,,,,,,,,,,,,,,,
1327,2009006,Wildlife Computers,Mk10,07A0345,34086,,,Wildlife Computers,Mk10,07A0345,Head,,,,,,,,,,,,,,,,,,,,,,,
WX197,2009007,Wildlife Computers,Mk10,07A0344,34085,,weird extrapolation,Wildlife Computers,Mk10,07A0344,Head,,,,,,,,,,,,,,,,,,,,,,,
S126,2009008,Wildlife Computers,Mk10,07A0339,34071,,,Wildlife Computers,Mk10,07A0339,Head,,,,,,,,,,,,,,,,,,,,,,,
1361,2009009,Wildlife Computers,SPOT,04S0117,37591,,messy locations,Wildlife Computers,Mk9,0490359,Back,,,,,,,,,,,,,,,,,,,,,,,
M583,2009010,SMRU,CTD,11069,92127,,,,Accel,490152,,,,SMRU,CTD,11069,Head,,,,,,,,,,,,,,,,,
R148,2009011,SMRU,CTD,11072,92128,,,,Accel,490854,,,,SMRU,CTD,11072,Head,,,,,,,,,,,,,,,,,
N796,2009012,Wildlife Computers,SPOT,04S0148,39455,,,Wildlife Computers,Mk9,0490159,Back,,,,Accel,07A1051,,,,,,,,,,,,,,,,,,
T201,2009013,Wildlife Computers,SPOT,04S0654,56479,,,Wildlife Computers,Mk9,0490853,Back,,,,,,,,,,,,,,,,,,,,,,,
M750,2009014,Wildlife Computers,SPOT,05S0067,59109,,,Wildlife Computers,Mk9,0490963,Back,,,,Accel,07A1052,,,,,,,,,,,,,,,,,,
R541,2009015,Wildlife Computers,SPOT,08S1037,93049,,,Wildlife Computers,Mk9,0790476,Back,,,,Accel,07A1053,,,,,,,,,,,,,,,,,,
S122,2009016,SMRU,CTD,11082,92133,,MISSING,Wildlife Computers,Mk9,0790475,Back,,,SMRU,CTD,11082,Head,,,,,,,,,,,,,,,,,
R730,2009017,Wildlife Computers,SPOT,08S1036,93050,,,Wildlife Computers,Mk9,0790474,Back,,,,Accel,07A1054,,,,,,,,,,,,,,,,,,
M780,2009019,Wildlife Computers,SPOT,08S1031,93035,,,Wildlife Computers,AccelShoulder,07A1049,Shoulder,,,,AccelTail,06A0979,Pelvis,,,,,,,,,Acoustic 2,,,,,,,,
X871,2009020,Wildlife Computers,SPOT,05S0072,59114,,messy locations,Wildlife Computers,AccelTail,06A0980,Pelvis,,,,AccelShoulder,07A1043,Shoulder,,,,,,,,,Acoustic 3,,,,,,,,
2370,2009021,Wildlife Computers,SPOT,08S1027,93034,,,Wildlife Computers,AccelTail,07A1055,Pelvis,,"Seal travelled through a wormhold, broke the fabric of spacetime",,,,,,,,,,,,,,,,,,,,,
X851,2009022,Wildlife Computers,SPOT,04S0209,44634,,,Wildlife Computers,Mk9,0490353,Back,,,,Accel,07A1053,,,,,,,,,,,,,,,,,,
1234,2009023,Wildlife Computers,SPOT,08S1032,93036,,,Wildlife Computers,AccelTail,06A0982,Pelvis,,,,AccelShoulder,07A0995,Shoulder,,,,,,,,,,,,Acoustic 5,,,,,
R279,2009035,SMRU,CTD,10583,35686,,messy locations,Wildlife Computers,Mk9,0790470,Back,,,SMRU,CTD,10583,Head,,,,,,,,,,,,,,,,,
O651,2009036,Wildlife Computers,Mk10,07A0354,34082,,,Wildlife Computers,Mk9,0790475,Back,,,,,,,,,,,,,,,,,,,,,,,
1015,2009037,Wildlife Computers,Mk10,07A0351,34078,,,Wildlife Computers,Mk9,0490157,Back,,,,,,,,,,,,,,,,,,,,,,,
T112,2009038,Wildlife Computers,Mk10,07A0352,34079,,MISSING,Wildlife Computers,Mk9,0490159,Back,,,,,,,,,,,,,,,,,,,,,,,
3477,2009039,Wildlife Computers,Mk10,09A0002,93051,,No useable data,Wildlife Computers,Mk10,09A0002,Head,,,,,,,,,,,,,,,,,,,,,,,
T461,2009040,Wildlife Computers,Mk10,09A0140,93053,,,Wildlife Computers,Mk10,09A0140,Head,,,,,,,,,,,,,,,,,,,,,,,
2098,2009041,Wildlife Computers,Mk10,07A0350,34077,,,Wildlife Computers,Mk9,0490158,Back,,,,,,,,,,,,,,,,,,,,,,,
1712,2009042,Wildlife Computers,Mk10,07A0349,,,MISSING,Wildlife Computers,Mk9,0490157,Back,,,,,,,,,,,,,,,,,,,,,,,
T151,2009043,Wildlife Computers,Mk10,07A0353,34081,,,Wildlife Computers,Mk9,0490853,Back,,,,,,,,,,,,,,,,,,,,,,,
WT073,2010011,Wildlife Computers,SPOT,09S1127,98230,,,Wildlife Computers,Mk9,0490854,Back,,,,,,,,,,,,,,,,,,,,,,,
O203,2010013,Wildlife Computers,SPOT,05S0071,59113,,weird extrapolation,Wildlife Computers,Mk9,0790475,Back,,,,,,,,,,,,,,,BC 63311,,,,,,,,
1261,2010015,Wildlife Computers,SPOT,04S0658,56483,,,Wildlife Computers,Mk9,0990465,Back,,,Little Leonardo,Kami,,Jaw,,,,,,,,,,,,,,,,,
R999,2010016,Wildlife Computers,SPOT,09S1057,39259,,"some data gaps, take a closer look",Wildlife Computers,Mk9,0990434,Back,,,Little Leonardo,Kami,,Jaw,,,,,,,,,Camera,,,,,,,,
M778,2010018,Wildlife Computers,SPOT,05S0067,59109,,,Wildlife Computers,Mk9,0990460,Back,,,Little Leonardo,Kami,,Jaw,,,,,,,,,BC 63313,,,,,,,,
R256,2010021,Wildlife Computers,SPOT,04S0210,44635,,,Wildlife Computers,Mk9,0990462,Back,,,,,,,,,,,,,,,BC 66312,,,,,,,,
WX541,2010022,Wildlife Computers,Mk10,09A0805,98228,,,Wildlife Computers,Mk10,09A0805,Head,,,,,,,,,,,,,,,,,,,,,,,
1901,2010023,Wildlife Computers,Mk10,09A0795,98226,,,Wildlife Computers,Mk10,09A0795,Head,,,,,,,,,,,,,,,,,,,,,,,
O284,2010025,Wildlife Computers,SPOT,05S0072,59114,,messy locations,Wildlife Computers,Mk9,0490353,Back,,,,,,,,,,,,,,,BC 63323,,,,,,,,
1472,2010026,Wildlife Computers,SPOT,08S1031,93035,,weird extrapolation,Wildlife Computers,Mk9,0490874,Back,,lost at sea,,,,,,,,,,,,,BC 63321,,,,,,,,
1735,2010027,Wildlife Computers,SPOT,08S1032,93036,,,Wildlife Computers,Mk9,0890434,Back,,,,,,,,,,,,,,,BC 63315,,,,,,,,
M784,2010028,Wildlife Computers,SPOT,08S1036,93050,,,Wildlife Computers,Mk9,0490851,Back,,TDR failed at 10 days,,,,,,,,,,,,,,,,,,,,,
WX444,2010029,Wildlife Computers,SPOT,09S1056,34253,,,Wildlife Computers,Mk9,0490124,Back,,,,,,,,,,,,,,,BC 63320,,,,,,,,
R541,2010030,Wildlife Computers,Mk10,09A0801,98221,,,Wildlife Computers,Mk10,09A0801,Head,,,Wildlife Computers,Accel,09A0575,,,,,,,,,,,,,,,,,,
M750,2010031,Wildlife Computers,SPOT,09S1054,34230,,few-ish points,Wildlife Computers,Mk9,0790474,Back,,,,,,,,,,,,,,,BC 63314,,,,,,,,
2370,2010032,Wildlife Computers,SPOT,09S1055,34252,,,Wildlife Computers,Mk9,0490858,Back,,,Wildlife Computers,Accel,09A0579,,,,,,,,,,,,,,,,,,
N796,2010033,Wildlife Computers,Mk10,07A0485,34090,,,Wildlife Computers,Mk10,07A0485,Head,,,Wildlife Computers,Accel,09A0696,,,,,,,,,,,,,,,,,,
W1095,2010034,Wildlife Computers,SPOT,09S1128,98231,,,Wildlife Computers,Mk9,0490964,Back,,,Wildlife Computers,Accel,09A0702,,,,,,,,,,,,,,,,,,
R148,2010035,Wildlife Computers,SPOT,05S1059,62036,,few-ish points,Wildlife Computers,Mk9,0490132,Back,,,Little Leonardo,Kami,,Jaw,,Kami_4,,AccelBack,2A525,,,,AccelHead,,,,,,,,
1733,2010036,Wildlife Computers,Mk10,06A1329,24176,,,Wildlife Computers,Mk10,06A1329,Head,,,Wildlife Computers,Accel,09A0699,,,,,,,,,,,,,,,,,,
M780,2010037,Wildlife Computers,Mk10,07A0354,34082,,,Wildlife Computers,Mk9,0490877,Back,,,Wildlife Computers,Accel,09A0701,,,,,,,,,,,,,,,,,,
1885,2010038,Wildlife Computers,SPOT,08S1027,93034,,weird extrapolation,Wildlife Computers,Mk9,0990461,Back,,,Wildlife Computers,Accel,09A0697,,,,,,,,,,,,,,,,,,
X851,2010039,Wildlife Computers,Mk10,09A0808,98229,,,Wildlife Computers,Mk10,09A0808,Head,,,Wildlife Computers,Accel,09A0708,,,,,,,,,,,,,,,,,,
1234,2010040,Wildlife Computers,Mk10,08A0901,35663,,,Wildlife Computers,Mk10,08A0901,Head,,,Wildlife Computers,Accel,09A0706,,,,,,,,,,,,,,,,,,
1968,2010062,Wildlife Computers,SPOT,08S1032,93036,,,Wildlife Computers,Mk9,0490158,Back,,,,,,,,,,,,,,,,,,,,,,,
WX311,2010063,Wildlife Computers,SPOT,09S1056,34253,,few points/loopy?,Wildlife Computers,Mk9,0490359,Back,,,,,,,,,,,,,,,,,,,,,,,
T740,2010064,Wildlife Computers,SPOT,04S0209,44634,,,Wildlife Computers,Mk9,0490132,Back,,,,,,,,,,,,,,,,,,,,,,,
O968,2010065,Wildlife Computers,SPOT,09S1055,34252,,few-ish points,Wildlife Computers,Mk9,0490157,Back,,,,,,,,,,,,,,,,,,,,,,,
2161,2010066,Wildlife Computers,SPOT,04S0658,56483,,weird loopy things,Wildlife Computers,Mk9,0490877,Back,,TDR full before return,,,,,,,,,,,,,,,,,,,,,
O80,2010067,Wildlife Computers,SPOT,08S1036,93050,,a data gap,Wildlife Computers,Mk9,0490879,Back,,,,,,,,,,,,,,,,,,,,,,,
1595,2010068,Wildlife Computers,Mk10,07A0339,34071,,,Wildlife Computers,Mk10,07A0339,Head,,,,,,,,,,,,,,,,,,,,,,,
T269,2010069,Wildlife Computers,SPOT,08S1031,93035,,,Wildlife Computers,Mk9,0990434,Back,,,,,,,,,,,,,,,,,,,,,,,
T379,2010070,Wildlife Computers,SPOT,09S1127,98230,,,Wildlife Computers,Mk9,0990460,Back,,,,,,,,,,,,,,,,,,,,,,,
R55,2010071,Wildlife Computers,SPOT,08S1037,93049,,messy points,Wildlife Computers,Mk9,0990463,Back,,,,,,,,,,,,,,,,,,,,,,,
T151,2010072,Wildlife Computers,SPOT,05S0067,59109,,,Wildlife Computers,Mk9,0490353,Back,,,,,,,,,,,,,,,,,,,,,,,
O651,2010073,Wildlife Computers,SPOT,05S0072,59114,,messy points,Wildlife Computers,Mk9,0490854,Back,,,,,,,,,,,,,,,,,,,,,,,
T553,2010074,Wildlife Computers,SPOT,05S0065,59107,,same as 2010075 but incomplete,Wildlife Computers,Mk9,0490858,Back,,,,,,,,,,,,,,,,,,,,,,,
R999,2010075,Wildlife Computers,Mk10,09A0140,95053,,same as 2010074 but complete,Wildlife Computers,Mk10,09A0140,Head,,,,,,,,,,,,,,,,,,,,,,,
R440,2010077,Wildlife Computers,SPOT,09S1128,98231,,messy points,Wildlife Computers,Mk9,0890433,Back,,TDR failed mid-trip,,,,,,,,,,,,,BC 63311,,,,,,,,
T761,2010078,Wildlife Computers,SPOT,05S0071,59113,,messy points,Wildlife Computers,Mk9,0490124,Back,,,,,,,,,,,,,,,BC 63320,,,,,,,,
3249,2010079,Wildlife Computers,SPOT,04S0648,56473,,,Wildlife Computers,Mk9,0990465,Back,,,,,,,,,,,,,,,BC 63315,,,,,,,,
R299,2010080,Wildlife Computers,Mk10,07A0340,34072,,VERY few points,Wildlife Computers,Mk10,07A0340,Head,,,,,,,,,,,,,,,,,,,,,,,
2608,2010081,Wildlife Computers,SPOT,05S0070,59112,,,Wildlife Computers,Mk9,0790475,Back,,TDR failed mid-trip,,,,,,,,,,,,,BC 63313,,,,,,,,
T248,2010082,Wildlife Computers,Mk10,06A0174,28596,,,Wildlife Computers,Mk10,06A0174,Head,,,,,,,,,,,,,,,BC 63321,,,,,,,,
T553,2010086,Wildlife Computers,SPOT,05S0065,59107,,,Wildlife Computers,Mk9,0890434,Back,,,,,,,,,,,,,,,,,,,,,,,
3887,2011001,Wildlife Computers,SPOT,10S0783,101166,,check,Wildlife Computers,Mk9,1090170,Back,,TDR lost at sea,,,,,,,,,,,,,,,,,,,,,
T28,2011002,Wildlife Computers,SPOT,10S0780,101163,,,Wildlife Computers,Mk9,1090225,Back,,,,,,,,,,,,,,,,,,,,,,,
1809,2011003,Wildlife Computers,SPOT,10S0788,101170,,,Wildlife Computers,Mk9,1090224,Back,,,,,,,,,,,,,,,LotekGeoLoc 4836,,,BC 44555,,,,,
T920,2011004,Wildlife Computers,SPOT,10S0782,101165,,,Wildlife Computers,Mk9,1090166,Back,,,,,,,,,,,,,,,LotekGeoLoc 4846,,,,,,,,
3224,2011005,Wildlife Computers,SPOT,10S0784,101167,,,Wildlife Computers,Mk9,1090222,Back,,,,,,,,,,,,,,,LotekGeoLoc 4857,,,,,,,,
1712,2011007,Wildlife Computers,SPOT,10S0785,101168,,,Wildlife Computers,Mk9,1090167,Back,,,,,,,,,,,,,,,LotekGeoLoc 4810,,,,,,,,
T19,2011008,Wildlife Computers,Mk10,07A0349,34076,,,Wildlife Computers,Mk9,0990434,Back,,,,,,,,,,,,,,,LotekGeoLoc 4785,,,,,,,,
2980,2011009,Wildlife Computers,SPOT,10S0786,101169,,,Wildlife Computers,Mk9,0490158,Back,,,,,,,,,,,,,,,LotekGeoLoc 4333,,,,,,,,
T923,2011010,Wildlife Computers,Mk10,07A0354,34082,,,Wildlife Computers,Mk9,1090231,Back,,,,,,,,,,,,,,,LotekGeoLoc 4784,,,BC 44557,,,,,
O968,2011011,Wildlife Computers,SPOT,09S1055,34252,,few points,Wildlife Computers,Mk9,0490157,Back,,,,,,,,,,,,,,,,,,,,,,,
1244,2011012,Wildlife Computers,SPOT,10S0781,101164,,,Wildlife Computers,Mk9,1090230,Back,,,,,,,,,,,,,,,LotekGeoLoc 4782,,,,,,,,
2028,2011013,Wildlife Computers,Mk10,09A0795,98226,,,Wildlife Computers,Mk10,09A0795,,,,,,,,,,,,,,,,LotekGeoLoc 4855,,,,,,,,
T220,2011014,Wildlife Computers,Mk10,07A0358,34084,,,Wildlife Computers,Mk9,0990465,Back,,,,,,,,,,,,,,,LotekGeoLoc 4882,,,,,,,,
3588,2011015,Wildlife Computers,Mk10,07A0352,34079,,,Wildlife Computers,Mk9,0890428,Back,,,,,,,,,,,,,,,,,,,,,,,
T911,2011016,Wildlife Computers,SPOT,05S1059,62036,,messy points,Wildlife Computers,Mk9,0990460,Back,,,Little Leonardo,Kami,,Jaw,,,Little Leonardo,Stroke,,,,,DSL,Head,,BC 220054,,,,,
M778,2011017,Wildlife Computers,Mk10,07A0353,34081,,,Wildlife Computers,Mk9,0790474,Back,,,Little Leonardo,Kami,,Jaw,,,Little Leonardo,Stroke,,,,,,,,,,,,,
3236,2011018,Wildlife Computers,Mk10,07A0351,34078,,,Wildlife Computers,Mk9,0490858,Back,,,Little Leonardo,Kami,,Jaw,,,Little Leonardo,Stroke,,,,,,,,,,,,,
T35,2011019,Wildlife Computers,Mk10,07A0350,34077,,,Wildlife Computers,Mk9,0990461,Back,,,Little Leonardo,Kami,,Jaw,,,Little Leonardo,Stroke,,,,,PD2GT: 2A453,,,,,,,,
1015,2011020,Wildlife Computers,Mk10,09A0805,98228,,,Wildlife Computers,Mk10,09A0805,,,,Little Leonardo,Kami,,Jaw,,,Little Leonardo,Stroke,,,,,PD2GT: 0A454,,,,,,,,
1885,2011021,Wildlife Computers,Mk10,07A0485,34090,,,Wildlife Computers,Mk10,07A0485,,,,Little Leonardo,Kami,,Jaw,,,,,,,,,,,,,,,,,
1733,2011022,Wildlife Computers,SPOT,05S1065,62042,,,Wildlife Computers,Mk9,0490879,Back,,Only one day of data,Little Leonardo,Kami,,Jaw,,,,,,,,,,,,,,,,,
2161,2011023,Wildlife Computers,SPOT,04S0658,56483,,few points,Wildlife Computers,Mk9,0490877,Back,,,,,,,,,,,,,,,,,,,,,,,
T169,2011024,Wildlife Computers,SPOT,09S1128,98231,,,Wildlife Computers,Mk9,0490854,Back,,,,,,,,,,,,,,,,,,,,,,,
1326,2011025,Wildlife Computers,SPOT,06S1032,93036,,,Wildlife Computers,Mk9,0890428,Back,,,,,,,,,,,,,,,,,,,,,,,
T143,2011026,Wildlife Computers,SPOT,10S0784,101167,,,Wildlife Computers,Mk9,1090167,Back,,,,,,,,,,,,,,,,,,,,,,,
3166,2011027,Wildlife Computers,SPOT,09S1127,98230,,,Wildlife Computers,Mk9,0990463,Back,,,,,,,,,,,,,,,,,,,,,,,
RY955,2011028,Wildlife Computers,SPOT,10S0786,101169,,messy locations,Wildlife Computers,Mk9,1090230,Back,,,,,,,,,,,,,,,,,,,,,,,
3421,2011029,Wildlife Computers,SPOT,09S1054,34230,,,Wildlife Computers,Mk9,0890431,Back,,,,,,,,,,,,,,,,,,,,,,,
3874,2011030,Wildlife Computers,SPOT,08S1031,93035,,,Wildlife Computers,Mk9,0990434,Back,,,,,,,,,,,,,,,,,,,,,,,
3249,2011031,Wildlife Computers,SPOT,10S0780,101163,,,Wildlife Computers,Mk9,0490359,Back,,,,,,,,,,,,,,,,,,,,,,,
T730,2011032,Wildlife Computers,SPOT,10S0781,101164,,look closer,Wildlife Computers,Mk9,0490963,Back,,,Little Leonardo,Stroke,,,,,Little Leonardo,Kami,,Jaw,,Depth recorder malfunctioned,DSL,Head,,Flash 1,,,,,
