SealID,TOPPID,SatTagManufacturer,SatTagType,SatTagID,SatTagPTT,SatTagQC,SatTagComment,TDR1Manufacturer,TDR1Type,TDR1ID,TDR1Loc,TDR1QC,TDR1Comments,TDR1Manufacturer,TDR2Type,TDR2ID,TDR2Loc,TDR2QC,TDR2Comments,TDR1Manufacturer,TDR3Type,TDR3ID,TDR3Loc,TDR3QC,TDR3Comment,Other1,Other1Loc,Other1Comment,Other2,Other2Loc,Other2Comment,Other3,Other3Loc,Other3Comment
O401,2004023,Wildlife Computers,SPOT,,37591,,,Wildlife Computers,Mk9,0490159,Back,,,,,,,,,,,,,,,,,,,,,,,
O968,2004024,Wildlife Computers,SPOT,,37592,,,Wildlife Computers,Mk9,0490124,Back,,,,,,,,,,,,,,,,,,,,,,,
MinF02,2004025,Wildlife Computers,SPOT,,39454,,,Lotek,,2310_A0315,,,,,,,,,,,,,,,,,,,,,,,,
R426,2004026,Telonics,,522198,14755,,,Lotek,,1300_B2276,,,,,,,,,,,,,,,,,,,,,,,,
R196,2004027,Wildlife Computers,SPOT,,44637,,some data gaps,Wildlife Computers,Mk9,0490160,Back,,,,,,,,,,,,,,,,,,,,,,,
N525,2004028,Wildlife Computers,SPOT,,44635,,,Wildlife Computers,Mk9,0490133,Back,,,,,,,,,,,,,,,,,,,,,,,
1595,2004029,Wildlife Computers,SPOT,,44633,,,Wildlife Computers,Mk9,0490151,Back,,,,,,,,,,,,,,,,,,,,,,,
N354,2004030,Wildlife Computers,SPOT,,44639,,,Wildlife Computers,Mk9,0490158,Back,,,,,,,,,,,,,,,,,,,,,,,
R615,2004031,SMRU,,9905,13363,,,Wildlife Computers,Mk9,0490155,Back,,,SMRU,,9905,Head,,,,,,,,,Lotek 2310_A0301,,,,,,,,
N513,2004032,Wildlife Computers,SPOT,,44632,,,Wildlife Computers,Mk9,0490117,Back,,,,,,,,,,,,,,,,,,,,,,,
O284,2004033,SMRU,,9908,14749,,weird loopy thing,Wildlife Computers,Mk9,0490132,Back,,,SMRU,,9908,Head,,,,,,,,,Lotek 2310_A0303,,,,,,,,
S152,2004034,SMRU,,1195,13365,,weird loopy thing,Wildlife Computers,Mk9,0490152,Back,,,SMRU,,1195,Head,,,,,,,,,Lotek 2310_A0313,,,,,,,,
L274,2004035,Wildlife Computers,SPOT,,39453,,,Wildlife Computers,Mk9,0490233,Back,,,,,,,,,,,,,,,,,,,,,,,
L752,2004036,SMRU,,9921,14759,,many bad locations,Wildlife Computers,Mk9,0490153,Back,,,SMRU,,9921,Head,,,,,,,,,Lotek 2310_A0300,,,,,,,,
R803,2004037,Wildlife Computers,SPOT,,39457,,weird loopy thing and also few points,Wildlife Computers,Mk9,0490231,Back,,,,,,,,,,,,,,,,,,,,,,,
2922,2004038,Wildlife Computers,Mk10,04L0006,44640,,,Wildlife Computers,Mk10,04L0006,Head,,,,,,,,,,,,,,,,,,,,,,,
2924,2004039,Wildlife Computers,Mk10,04L0008,37590,,,Wildlife Computers,Mk10,04L0008,Head,,,,,,,,,,,,,,,,,,,,,,,
O968,2005001,Wildlife Computers,SPOT,,37592,,,Wildlife Computers,Mk9,0490124,Back,,,,,,,,,,,,,,,,,,,,,,,
R792,2005002,Wildlife Computers,SPOT,,56475,,,Wildlife Computers,Mk9,0490115,Back,,,,,,,,,,,,,,,HTR,,,STT,,,,,
M807,2005003,SMRU,,10057,24178,,,Wildlife Computers,Mk9,0490122,Back,,,,,,,,,,,,,,,,,,,,,,,
N796,2005004,SMRU,CTD,10028,23104,,,Wildlife Computers,Mk9,0490116,Back,,,SMRU CTD,CTD,10028,Head,,,,,,,,,,,,,,,,,
1914,2005005,Wildlife Computers,SPOT,,56473,,,Wildlife Computers,Mk9,0490132,Back,,,,,,,,,,,,,,,HTR,,,STT,,,,,
O585,2005006,SMRU,,10059,24176,,,Wildlife Computers,Mk9,0490157,Back,,,SMRU,,10059,Head,,,,,,,,,,,,,,,,,
L868,2005007,SMRU,,10063,,,,Wildlife Computers,Mk9,0490152,Back,,,SMRU,,10063,Head,,,,,,,,,,,,,,,,,
N410,2005008,SMRU,,10061,,,,Wildlife Computers,Mk9,0490133,Back,,,SMRU,,10061,Head,,,,,,,,,,,,,,,,,
N513,2005009,Wildlife Computers,SPOT,,44632,,,Wildlife Computers,Mk9,0490117,Back,,,,,,,,,,,,,,,,,,,,,,,
1535,2005010,Wildlife Computers,SPOT,,56474,,,Wildlife Computers,Mk9,0490156,Back,,,,,,,,,,,,,,,HTR,,,,,,,,
1595,2005011,Wildlife Computers,SPOT,,44633,,,Wildlife Computers,Mk9,0490151,Back,,,,,,,,,,,,,,,,,,,,,,,
N354,2005012,Wildlife Computers,SPOT,,44639,,,Wildlife Computers,Mk9,0490158,Back,,,,,,,,,,,,,,,,,,,,,,,
M627,2005013,Wildlife Computers,SPOT,04S0651,56476,,,Wildlife Computers,Mk9,0490159,Back,,,,,,,,,,,,,,,HTR,,,STT,,,,,
R440,2005014,Wildlife Computers,SPOT,,56477,,,Wildlife Computers,Mk9,0490155,Back,,,,,,,,,,,,,,,STT,,,,,,,,
R528,2005015,Wildlife Computers,SPOT,04S0654,56479,,,Wildlife Computers,Mk9,0490160,Back,,,,,,,,,,,,,,,SST,,,,,,,,
R834,2005016,SMRU,,10060,28592,,,Wildlife Computers,Mk9,0490353,Back,,,SMRU,,10060,Head,,,,,,,,,,,,,,,,,
L274,2005017,Wildlife Computers,SPOT,,39453,,weird linear extrapolation,Wildlife Computers,Mk9,0490233,Back,,,,,,,,,,,,,,,HTR,,,STT,,,,,
O176,2005018,Wildlife Computers,SPOT,,56478,,,Wildlife Computers,Mk9,0490853,Back,,,,,,,,,,,,,,,HTR,,,STT,,,,,
W1095,2005019,SMRU,,10056,22925,,some bad locations,Wildlife Computers,Mk9,0490231,Back,,,SMRU,,10056,Head,,,,,,,,,,,,,,,,,
1913,2005020,Wildlife Computers,SPOT,,56480,,,Wildlife Computers,Mk9,0490874,Back,,,,,,,,,,,,,,,,,,,,,,,
L844,2005021,Wildlife Computers,SPOT,04S0656,56481,,,Wildlife Computers,Mk9,0490875,Back,,,,,,,,,,,,,,,,,,,,,,,
O651,2005022,Wildlife Computers,SPOT,04S0657,56482,,,Wildlife Computers,Mk9,0490876,Back,,,,,,,,,,,,,,,,,,,,,,,
K464,2005023,Wildlife Computers,SPOT,04S0658,56483,,,Wildlife Computers,Mk9,0490877,Back,,,,,,,,,,,,,,,,,,,,,,,
1544,2005024,Wildlife Computers,SPOT,04S0659,56484,,,Wildlife Computers,Mk9,0490132,Back,,,,,,,,,,,,,,,,,,,,,,,
O911,2005025,Wildlife Computers,SPOT,04S0660,56485,,,Wildlife Computers,Mk9,0490153,Back,,,,,,,,,,,,,,,,,,,,,,,
K598,2005026,Wildlife Computers,SPOT,04S0661,56486,,,Wildlife Computers,Mk9,0490850,Back,,,,,,,,,,,,,,,,,,,,,,,
L521,2005027,Wildlife Computers,SPOT,04S0662,56487,,,Wildlife Computers,Mk9,0490851,Back,,,,,,,,,,,,,,,,,,,,,,,
O55,2005028,Wildlife Computers,SPOT,04S0663,56488,,,Wildlife Computers,Mk9,0490854,Back,,,,,,,,,,,,,,,,,,,,,,,
L563,2005029,Wildlife Computers,SPOT,04S0664,56489,,,Wildlife Computers,Mk9,0490858,Back,,,,,,,,,,,,,,,,,,,,,,,
R797,2005030,Wildlife Computers,SPOT,04S0665,56490,,,Wildlife Computers,Mk9,0490117,Back,,,,,,,,,,,,,,,,,,,,,,,
O401,2005031,Wildlife Computers,SPOT,04S0666,56491,,,Wildlife Computers,Mk9,0490124,Back,,,,,,,,,,,,,,,,,,,,,,,
R848,2005032,Wildlife Computers,SPOT,,56492,,,Wildlife Computers,Mk9,0490133,Back,,,,,,,,,,,,,,,Accel,,,,,,,,
O448,2005033,Wildlife Computers,SPOT,04S0117,37591,,,Wildlife Computers,Mk9,0490152,Back,,,,,,,,,,,,,,,Accel,,,,,,,,
M141,2005034,Wildlife Computers,SPOT,04S0120,37593,,,Wildlife Computers,Mk9,0490853,Back,,,,,,,,,,,,,,,Accel,,,,,,,,
N140,2005035,SMRU,CTD,10054,22922,,where the heck are these locations (only WA/BC),Wildlife Computers,Mk9,0490116,Back,,,SMRU,CTD,10054,Head,,,,,,,,,Accel,,,,,,,,
1914,2005036,Wildlife Computers,SPOT,04S0143,39454,,,Wildlife Computers,Mk9,0490122,Back,,,,,,,,,,,,,,,Accel,,,,,,,,
S85,2005037,Wildlife Computers,SPOT,04S0148,39455,,,Wildlife Computers,Mk9,0490963,Back,,,,,,,,,,,,,,,,,,,,,,,
R459,2005038,Wildlife Computers,SPOT,04S0138,37597,,,Wildlife Computers,Mk9,0490352,Back,,,,,,,,,,,,,,,,,,,,,,,
R55,2005039,Wildlife Computers,SPOT,04S0140,37598,,,Wildlife Computers,Mk9,0490960,Back,,,,,,,,,,,,,,,,,,,,,,,
O585,2005040,Wildlife Computers,SPOT,04S0205,39456,,,Wildlife Computers,Mk9,0490155,Back,,,,,,,,,,,,,,,,,,,,,,,
R803,2005041,SMRU,,10098,28592,,some noisy locations,Wildlife Computers,Mk9,0490962,Back,,,SMRU,,10098,Head,,,,,,,,,,,,,,,,,
R528,2005042,SMRU,,10107,,,,Wildlife Computers,Mk9,0490156,Back,,,SMRU,,10107,Head,,,,,,,,,,,,,,,,,
R589,2005043,SMRU,,10110,23104,,"extrapolated end, check this. some noisy locations",Wildlife Computers,Mk9,0490966,Back,,,SMRU,,10110,Head,,,,,,,,,,,,,,,,,
3162,2005044,SMRU,,10102,,,weird loopy thing and forces end when it should not,SMRU,,10102,Head,,,,,,,,,,,,,,,,,,,,,,,
Lola,2005050,Wildlife Computers,SPOT,,59108,,"very local to San Benito, check",Wildlife Computers,Mk9,0490952,Back,,,,,,,,,,,,,,,,,,,,,,,
Kita,2005051,Wildlife Computers,SPOT,,59112,,,Wildlife Computers,Mk9,0490359,Back,,,,,,,,,,,,,,,,,,,,,,,
Pepa,2005052,Wildlife Computers,SPOT,,59114,,,Wildlife Computers,Mk9,0490951,Back,,,,,,,,,,,,,,,,,,,,,,,
Yuyu,2005053,Wildlife Computers,SPOT,,59113,,,Wildlife Computers,Mk9,0490357,Back,,,,,,,,,,,,,,,,,,,,,,,
Lupe,2005054,Wildlife Computers,SPOT,,59115,,,Wildlife Computers,Mk9,0490964,Back,,,,,,,,,,,,,,,,,,,,,,,
Sam,2005055,Wildlife Computers,SPOT,,59111,,"very local to san benito, check",Wildlife Computers,Mk9,0490955,Back,,,,,,,,,,,,,,,,,,,,,,,
Ana,2005056,Wildlife Computers,SPOT,,59116,,,Wildlife Computers,Mk9,0490965,Back,,,,,,,,,,,,,,,,,,,,,,,
